task,model,building_id,source_area,context_tolerance_m,paired_point_rmse_m,hausdorff_distance_m,relative_area_error_pct,source_is_valid,target_is_valid,prediction_is_valid
Fixed 2 m target,Identity baseline,2630,wedding,,1.8112788131652766,1.9190076373212168,8.326357240097439,True,True,True
Fixed 2 m target,Identity baseline,2631,wedding,,0.8554777333107746,1.1626114048433134,1.2675788832027646,True,True,True
Fixed 2 m target,Identity baseline,2632,wedding,,1.7409521679695317,1.1999997711740475,1.3543652520944294,True,True,True
Fixed 2 m target,Identity baseline,2633,wedding,,1.039943225003071,1.3649024946196775,4.676430174023934,True,True,True
Fixed 2 m target,Identity baseline,2634,wedding,,0.01104855994045959,0.0239577973187384,0.0642431481718373,True,True,True
Fixed 2 m target,Identity baseline,2635,wedding,,0.8668355597300004,1.5643074707556786,5.000064943073788,True,True,True
Fixed 2 m target,Identity baseline,2636,wedding,,0.9368323706576552,1.7576918190025415,3.386298914111242,True,True,True
Fixed 2 m target,Identity baseline,2637,wedding,,0.6704654139420202,0.726721758940686,3.014170201147001,True,True,True
Fixed 2 m target,Identity baseline,2638,wedding,,0.22783857893650108,0.48257010056889216,0.15657630047737933,True,True,True
Fixed 2 m target,Identity baseline,2639,wedding,,0.5368500724356179,0.8863959957832033,2.0907258253965697,True,True,True
